epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,13082,1.56432,1.60104,2.03152,0.94095,0.83333,0.87914,0.60771,0.81271,2.08888,1.14795,0.000164264,0.000164264,0.000164264
91,13231.5,1.57019,1.59201,2.03179,0.94171,0.83333,0.89835,0.56701,0.88404,2.11276,1.18666,0.000154982,0.000154982,0.000154982
92,13383.7,1.65894,1.6284,2.00524,0.98473,0.83333,0.90044,0.5535,0.93458,2.71379,1.19904,0.00014594,0.00014594,0.00014594
93,13525.3,1.55815,1.5336,2.08522,0.9999,0.83333,0.91147,0.54853,0.99631,2.82697,1.21317,0.000137143,0.000137143,0.000137143
94,13671.3,1.66309,1.65838,2.11999,0.91283,0.87277,0.90562,0.56999,0.94494,2.8182,1.16594,0.000128599,0.000128599,0.000128599
95,13830.7,1.44716,1.44491,1.98534,0.94314,0.83333,0.90957,0.5287,1.02338,2.56918,1.20832,0.000120313,0.000120313,0.000120313
96,13984.5,1.59045,1.5683,2.03085,0.94067,0.83333,0.90093,0.56652,0.94053,1.97197,1.16745,0.00011229,0.00011229,0.00011229
97,14133.5,1.54882,1.49639,1.97603,0.93969,0.83333,0.89855,0.60176,0.86725,1.86848,1.14329,0.000104537,0.000104537,0.000104537
98,14278,1.66392,1.6179,2.10545,1,0.825,0.91176,0.58388,0.89456,1.99619,1.14388,9.70575e-05,9.70575e-05,9.70575e-05
99,14439.1,1.61275,1.48874,2.06441,1,0.82999,0.89163,0.53868,0.95442,2.16143,1.17439,8.98581e-05,8.98581e-05,8.98581e-05
100,14606.8,1.57119,1.43903,2.01153,0.93991,0.83333,0.88696,0.6056,0.77891,2.28736,1.09443,8.29431e-05,8.29431e-05,8.29431e-05
101,14752.7,1.51973,1.53392,1.99937,1,0.81837,0.88473,0.57953,0.85881,2.20701,1.13423,7.63174e-05,7.63174e-05,7.63174e-05
102,14897.1,1.65075,1.57235,2.04036,1,0.8304,0.88347,0.54354,0.91883,2.01897,1.16826,6.99855e-05,6.99855e-05,6.99855e-05
103,15050.3,1.55308,1.42588,2.01669,0.98698,0.83333,0.88906,0.58861,0.88867,1.83651,1.14838,6.39518e-05,6.39518e-05,6.39518e-05
104,15211.8,1.52993,1.5298,1.95444,0.98746,0.83333,0.89455,0.60228,0.85403,1.79667,1.12075,5.82203e-05,5.82203e-05,5.82203e-05
105,15353,1.50725,1.62756,1.95099,0.98156,0.83333,0.89189,0.60182,0.86606,1.89195,1.1228,5.2795e-05,5.2795e-05,5.2795e-05
106,15493.6,1.47617,1.33024,1.95052,0.98645,0.83333,0.89006,0.61063,0.87578,1.95586,1.13871,4.76796e-05,4.76796e-05,4.76796e-05
107,15640.9,1.52156,1.4429,1.91756,1,0.82726,0.903,0.63042,0.84741,2.02762,1.11906,4.28777e-05,4.28777e-05,4.28777e-05
108,15797.4,1.48707,1.4018,1.96333,0.99699,0.83333,0.90277,0.6139,0.89035,2.15767,1.12915,3.83925e-05,3.83925e-05,3.83925e-05
109,15941,1.46874,1.44605,2.01438,0.98625,0.83333,0.90445,0.59528,0.93959,2.21422,1.15076,3.4227e-05,3.4227e-05,3.4227e-05
110,16082.7,1.49883,1.45905,1.94585,0.9878,0.83333,0.90618,0.61071,0.88654,2.25022,1.12057,3.03842e-05,3.03842e-05,3.03842e-05
111,16255.6,1.07138,1.22433,1.61708,0.98875,0.83333,0.89932,0.63156,0.82289,2.39402,1.09299,2.68667e-05,2.68667e-05,2.68667e-05
112,16411.9,1.13121,1.08843,1.68993,0.9924,0.83333,0.89587,0.62449,0.8217,2.34143,1.09803,2.36769e-05,2.36769e-05,2.36769e-05
113,16566.3,1.164,0.98976,1.65628,0.99325,0.83333,0.89177,0.61669,0.82833,2.19916,1.10354,2.08169e-05,2.08169e-05,2.08169e-05
114,16708.2,1.19638,0.98222,1.78743,0.99409,0.83333,0.8922,0.61808,0.8458,2.09585,1.11162,1.82888e-05,1.82888e-05,1.82888e-05
115,16858.1,1.19556,1.04832,1.75415,0.99481,0.83333,0.89218,0.58049,0.89464,2.00323,1.13628,1.60943e-05,1.60943e-05,1.60943e-05
116,17008.7,1.12445,0.93426,1.6858,0.9949,0.83333,0.89295,0.56786,0.89571,1.94855,1.1369,1.42348e-05,1.42348e-05,1.42348e-05
117,17149.3,1.06758,0.9606,1.60281,0.99505,0.83333,0.89829,0.58647,0.8878,1.87952,1.12575,1.27117e-05,1.27117e-05,1.27117e-05
118,17291,1.12102,0.90168,1.6774,0.99499,0.83333,0.89984,0.60612,0.85971,1.85926,1.1102,1.15259e-05,1.15259e-05,1.15259e-05
119,17440,1.17415,0.93059,1.75275,0.99519,0.83333,0.90276,0.63,0.82534,1.81268,1.09428,1.06784e-05,1.06784e-05,1.06784e-05
120,17593.4,1.13546,0.87455,1.71138,0.99498,0.83333,0.90574,0.62525,0.81668,1.78496,1.08912,1.01696e-05,1.01696e-05,1.01696e-05
